Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
15,yes,no,yes,yes
21,yes,yes,yes,yes
49,yes,yes,yes,yes
57,yes,no,no,yes
61,yes,no,yes,yes
63,yes,yes,yes,yes
75,no,yes,yes,yes
77,yes,yes,yes,no
115,yes,yes,yes,yes
129,yes,yes,yes,yes
131,no,yes,yes,yes
141,yes,yes,yes,yes
178,yes,yes,no,yes
181,no,yes,yes,yes
223,no,yes,yes,yes
260,yes,yes,yes,yes
332,yes,yes,yes,yes
344,yes,yes,yes,yes
347,yes,yes,yes,yes
379,yes,yes,yes,yes
421,no,yes,yes,yes
436,yes,yes,yes,yes
438,yes,yes,yes,yes
442,yes,yes,yes,yes
446,yes,yes,yes,yes
464,yes,yes,yes,yes
507,yes,yes,yes,yes
519,yes,yes,yes,yes
534,yes,yes,yes,yes
546,yes,yes,yes,yes
548,no,no,yes,no
576,no,yes,yes,yes
628,yes,yes,yes,yes
658,yes,yes,yes,yes
666,yes,yes,yes,yes
722,yes,yes,yes,yes
759,yes,yes,yes,yes
767,yes,yes,yes,yes
779,no,yes,no,yes
786,no,no,yes,yes
974,yes,yes,yes,yes
998,yes,yes,yes,yes
1027,yes,yes,yes,yes
1031,yes,yes,yes,yes
1054,yes,no,yes,yes
1137,yes,no,yes,no
1210,yes,yes,yes,yes
