Directory Name,Approach the following question the way someone in preschool would.json,Approach the following question the way someone in elementary school would.json,Approach the following question the way someone in high school would.json,Approach the following question the way someone with a PhD in mathematics would.json
6,no,yes,yes,yes
16,yes,yes,yes,yes
19,yes,yes,yes,yes
26,yes,yes,yes,yes
44,yes,yes,yes,yes
52,yes,yes,yes,yes
71,no,yes,no,no
78,yes,yes,no,yes
82,yes,yes,yes,yes
90,yes,yes,yes,yes
116,yes,yes,yes,yes
118,yes,yes,yes,yes
119,no,no,no,yes
121,no,yes,no,no
125,no,yes,yes,yes
143,yes,yes,yes,yes
152,no,yes,yes,yes
164,no,no,no,no
174,yes,yes,yes,yes
176,yes,yes,no,no
180,yes,yes,yes,no
189,no,yes,yes,no
191,yes,no,yes,yes
197,yes,yes,yes,yes
217,no,no,yes,yes
220,yes,yes,no,yes
225,yes,yes,yes,yes
230,yes,yes,yes,yes
231,no,no,yes,no
240,no,yes,no,yes
241,yes,yes,yes,yes
256,yes,yes,yes,yes
264,no,no,no,no
267,no,no,no,no
273,yes,yes,yes,yes
276,no,yes,no,no
282,no,yes,yes,yes
286,yes,yes,yes,yes
305,yes,yes,yes,yes
307,yes,no,yes,no
313,yes,yes,yes,yes
319,no,yes,yes,yes
334,yes,yes,yes,yes
355,no,yes,yes,yes
358,yes,yes,yes,yes
376,yes,yes,yes,yes
384,no,no,no,yes
392,no,yes,yes,no
399,yes,no,yes,yes
401,yes,yes,yes,yes
420,no,yes,yes,yes
426,no,yes,yes,no
433,no,yes,yes,yes
463,yes,yes,yes,yes
465,no,no,yes,yes
468,yes,yes,yes,yes
478,yes,yes,yes,yes
484,yes,yes,yes,yes
485,yes,yes,yes,yes
490,yes,yes,yes,yes
491,no,yes,yes,yes
522,yes,yes,yes,yes
524,yes,yes,yes,yes
527,yes,yes,yes,yes
529,yes,yes,no,no
550,yes,yes,yes,yes
556,no,no,yes,no
557,yes,yes,yes,yes
560,yes,yes,yes,yes
578,yes,yes,yes,yes
579,no,yes,yes,yes
593,yes,yes,yes,yes
603,no,yes,no,yes
609,yes,yes,yes,yes
635,no,no,no,yes
637,yes,yes,no,yes
649,yes,yes,yes,yes
655,yes,yes,yes,yes
662,yes,yes,yes,yes
670,yes,yes,yes,yes
672,yes,yes,no,no
677,yes,no,yes,yes
683,yes,yes,yes,yes
702,yes,yes,yes,yes
712,yes,yes,yes,yes
717,yes,no,no,yes
720,yes,no,yes,yes
721,yes,yes,yes,yes
724,yes,yes,no,yes
730,yes,no,yes,no
735,no,yes,no,yes
736,yes,no,no,no
741,yes,yes,yes,yes
754,yes,yes,yes,yes
776,no,no,yes,yes
784,no,yes,no,yes
785,no,no,yes,yes
794,yes,yes,no,yes
795,yes,yes,yes,yes
797,yes,yes,yes,yes
799,yes,yes,yes,yes
815,yes,yes,yes,yes
839,yes,yes,yes,yes
851,yes,no,yes,yes
860,yes,yes,yes,yes
887,no,no,yes,no
901,no,yes,yes,yes
906,no,yes,yes,no
916,yes,yes,yes,yes
972,yes,yes,yes,yes
973,no,yes,yes,yes
976,no,yes,yes,yes
982,no,yes,yes,yes
1007,yes,yes,yes,yes
1040,yes,yes,yes,yes
1062,yes,yes,yes,yes
1063,no,yes,yes,yes
1069,yes,yes,yes,yes
1078,yes,yes,yes,no
1085,yes,no,no,yes
1094,yes,yes,yes,yes
1100,no,no,no,yes
1127,yes,yes,yes,no
1143,yes,yes,yes,yes
1166,yes,yes,yes,yes
1187,yes,no,yes,yes
1205,no,yes,yes,yes
1219,yes,yes,yes,yes
1230,yes,yes,yes,yes
1259,yes,yes,yes,yes
1277,no,yes,no,yes
