Directory Name,Approach the following question the way someone with a PhD in mathematics would.json,You are an expert in number theory. Solve the following problem.json
15,no,yes
21,yes,yes
49,yes,yes
57,yes,no
61,yes,yes
63,yes,no
75,yes,yes
77,yes,yes
115,yes,yes
129,yes,yes
131,yes,yes
141,no,yes
178,yes,yes
181,yes,yes
223,yes,yes
260,yes,yes
332,yes,yes
344,yes,yes
347,yes,yes
379,yes,yes
421,yes,yes
436,yes,yes
438,yes,yes
442,yes,yes
446,yes,yes
464,yes,yes
507,yes,yes
519,yes,yes
534,yes,yes
546,yes,yes
548,yes,no
576,yes,yes
628,yes,yes
658,yes,yes
666,yes,yes
722,yes,yes
759,yes,yes
767,yes,yes
779,yes,yes
786,no,yes
974,yes,yes
998,yes,yes
1027,yes,yes
1031,yes,yes
1054,yes,yes
1137,yes,no
1210,yes,yes
