Directory Name,You are a preschooler.json,You are in elementary school.json,You are in high school.json,You have a PhD in mathematics.json
693,no,no,yes,yes
320,yes,no,yes,yes
786,no,no,no,no
638,yes,no,yes,no
256,no,yes,yes,no
646,no,yes,no,yes
562,yes,yes,yes,no
336,no,no,no,no
285,no,no,no,yes
458,no,no,no,yes
1080,yes,no,no,no
1017,no,no,no,no
945,yes,no,no,no
961,yes,yes,yes,yes
125,no,no,no,no
820,no,yes,no,yes
515,no,no,yes,no
854,no,no,yes,no
1086,no,yes,yes,yes
363,no,no,yes,yes
225,yes,no,yes,yes
719,no,no,no,no
469,yes,yes,no,no
183,no,no,no,yes
947,no,no,no,no
340,no,no,no,no
421,yes,no,yes,yes
578,no,no,yes,yes
613,yes,yes,yes,no
447,yes,yes,yes,yes
738,no,no,no,no
344,yes,yes,yes,yes
856,yes,no,no,yes
60,yes,yes,yes,yes
52,no,yes,yes,no
550,no,no,yes,no
665,no,yes,yes,no
800,no,no,no,yes
194,yes,no,no,no
702,no,no,no,yes
370,no,yes,no,yes
567,yes,yes,yes,yes
239,yes,yes,yes,yes
379,yes,no,yes,yes
49,no,no,yes,no
1031,no,no,no,no
668,yes,no,yes,yes
701,no,no,yes,no
311,yes,no,yes,no
818,no,no,yes,no
842,no,yes,no,yes
376,no,no,no,no
715,no,no,no,no
70,no,yes,yes,yes
40,no,no,no,no
888,no,no,no,no
91,no,no,no,no
1054,no,no,no,yes
775,no,no,no,no
1063,no,no,no,yes
372,no,no,no,yes
224,no,no,no,no
1037,no,yes,no,yes
345,no,no,yes,yes
227,yes,yes,yes,yes
830,no,no,no,no
791,yes,yes,no,no
750,yes,yes,yes,yes
360,yes,yes,yes,no
335,no,yes,no,no
591,yes,yes,no,yes
895,no,yes,yes,yes
1099,no,no,no,no
500,yes,yes,yes,yes
448,no,yes,yes,yes
1121,yes,no,no,yes
76,yes,no,yes,no
610,no,no,no,no
879,no,no,no,yes
1045,yes,yes,yes,yes
468,no,no,no,no
538,no,yes,yes,no
929,yes,yes,yes,no
1030,no,no,no,no
937,yes,no,yes,yes
241,no,yes,no,no
253,no,no,yes,no
1085,no,yes,no,no
647,yes,yes,no,no
1011,yes,yes,yes,yes
819,no,no,no,no
931,no,yes,no,no
836,yes,yes,no,yes
248,no,yes,no,no
98,no,yes,yes,yes
29,yes,yes,yes,yes
558,no,no,no,no
698,yes,no,yes,yes
979,yes,yes,yes,no
1024,yes,no,yes,yes
222,no,yes,no,yes
882,yes,yes,no,no
958,no,yes,yes,yes
92,no,yes,yes,yes
67,no,no,no,no
1101,no,yes,no,no
812,yes,yes,no,yes
350,no,no,no,no
848,no,no,no,no
12,yes,yes,yes,yes
21,no,yes,no,no
534,yes,yes,no,no
129,no,no,no,yes
471,no,no,yes,yes
906,yes,yes,yes,yes
459,yes,yes,yes,no
165,yes,yes,yes,yes
1068,yes,yes,yes,yes
629,yes,yes,yes,yes
322,no,no,no,no
420,no,no,no,yes
235,yes,yes,yes,yes
615,no,no,no,yes
81,no,no,no,no
954,no,yes,no,yes
457,no,no,no,no
928,yes,yes,no,no
1001,no,no,yes,no
826,no,yes,yes,yes
643,yes,no,no,no
112,yes,yes,yes,no
691,no,no,no,no
308,no,no,no,no
273,no,no,yes,no
257,no,no,no,no
163,no,no,no,no
832,no,yes,no,yes
380,no,no,yes,yes
926,yes,yes,yes,yes
493,no,no,no,yes
268,no,no,yes,no
574,no,no,yes,yes
502,no,no,no,yes
734,yes,no,no,no
618,yes,yes,yes,yes
881,yes,no,yes,no
511,no,no,no,no
310,yes,no,no,yes
411,yes,no,no,yes
817,yes,yes,yes,yes
252,yes,yes,yes,yes
912,no,no,yes,no
822,yes,no,no,yes
995,yes,yes,no,yes
198,yes,yes,yes,yes
382,no,no,no,no
83,no,no,yes,no
75,yes,no,no,yes
15,yes,no,yes,no
772,yes,no,no,yes
